symbol,pf,return,wr,mdd,trades
1000BONKUSDT,1.001710467567189,0.08499913230359812,45.45454545454545,-35.79645075655103,11
1000FLOKIUSDT,1.5862184925310867,23.15793232016441,60.0,-25.38963325665876,15
1000LUNCUSDT,0.9969371175751572,-0.10011409051660092,53.333333333333336,-30.336157911897054,15
1000PEPEUSDT,0.8207846391256428,-7.703081976151093,53.84615384615385,-34.91676664397983,13
1000RATSUSDT,1.138398569825079,6.151417179385743,46.666666666666664,-17.64357027776733,15
1000SHIBUSDT,0.9005385431676056,-4.357663615962936,38.095238095238095,-19.24869000239876,21
1000XECUSDT,1.7748699030760293,36.16613730717009,60.0,-21.847154580715696,20
1INCHUSDT,0.9131675117963605,-3.1821100165725147,50.0,-23.705152855035305,20
AAVEUSDT,0.656882379888141,-24.28372478012275,30.434782608695656,-32.77526393044594,23
ACHUSDT,0.2819347013791377,-42.132919440912545,45.45454545454545,-50.070181377814336,11
ADAUSDT,0.25421702647198363,-48.30179358085599,36.36363636363637,-48.30179358085599,22
AGLDUSDT,1.0101125226829826,0.3026443326026751,63.63636363636363,-23.21181127991136,11
ALGOUSDT,0.41492206549155475,-39.162274583173875,35.483870967741936,-48.38456416603838,31
ALICEUSDT,0.4761034921163847,-28.722985673798473,52.38095238095239,-45.522491075721675,21
ANKRUSDT,1.5101109496112577,38.37413199816451,52.17391304347826,-25.959619151460966,23
APEUSDT,0.5615622274429548,-24.24078692842595,52.63157894736842,-40.266282832368546,19
API3USDT,1.2897749556616909,12.907940005886642,55.55555555555556,-25.81856283086321,18
APTUSDT,2.1792041151725736,39.89498579628401,64.70588235294117,-18.072772875474506,17
ARBUSDT,6.623208410485662,45.44651724164923,75.0,-4.546564716720402,12
ARKMUSDT,1.3309510454954465,10.02360330951455,54.54545454545454,-24.838980602523943,11
ARPAUSDT,2.5961376312293236,49.53467638245483,63.1578947368421,-9.945109049527728,19
ARUSDT,1.1733725942950086,10.584035624899556,45.83333333333333,-24.829043215365175,24
ASTRUSDT,7.369740623723556,46.068376104306076,70.0,-4.847350913413575,10
ATAUSDT,0.24576409023263693,-53.03580537427759,30.0,-58.02028906219417,20
ATOMUSDT,0.5071321394454532,-35.24881794263904,45.45454545454545,-37.46829192716787,33
AUCTIONUSDT,3.034440370687438,32.83402997487978,70.0,-8.48565390437814,10
AVAXUSDT,0.9297196120894294,-5.944833127177384,48.275862068965516,-36.00284306870157,29
AXLUSDT,1.2285842838259737,3.083364913993636,40.0,-5.400577343602986,10
AXSUSDT,0.8462567575882537,-5.435982417318175,47.368421052631575,-29.42920787008381,19
BANDUSDT,2.313079601240729,48.100960955038595,54.54545454545454,-28.384237760320456,22
BATUSDT,1.7455910929615328,33.34196508958398,47.82608695652174,-17.19427106028896,23
BCHUSDT,0.523855641135623,-24.087725857471874,45.0,-38.59701935518603,20
BEAMXUSDT,2.857741155594509,38.42521578173523,70.0,-11.937212179419667,10
BELUSDT,1.3906057966031384,60.117159400521444,47.61904761904761,-39.67772109070342,21
BIGTIMEUSDT,6.30754662850419,52.27419366093595,63.63636363636363,-3.6973909518350356,11
BNBUSDT,0.9277733036749507,-2.63053020004822,53.57142857142857,-20.96723426229153,28
BNTUSDT,2.276108509157366,15.647933289527383,60.0,-5.957402797877469,10
BTCDOMUSDT,1.390235602783804,8.112789724361601,47.82608695652174,-7.1596982125615245,23
BTCUSDT,0.7972923727823947,-11.34676970310684,44.827586206896555,-27.041032572813943,29
C98USDT,1.7416485947859035,21.97222032791739,58.82352941176471,-16.606364879228945,17
CATIUSDT,2.446219948898352,23.43706320022838,45.45454545454545,-10.761489248783207,11
CELOUSDT,0.8380136351863747,-10.271514337644438,52.38095238095239,-37.21095231726236,21
CELRUSDT,2.0018664996775675,37.13099262938837,61.111111111111114,-19.469888999162748,18
CFXUSDT,0.7673503447893593,-7.766291196700026,54.54545454545454,-26.397312310083432,11
CHRUSDT,0.6553346561580485,-16.911623713485678,33.33333333333333,-39.40389689504919,18
CHZUSDT,1.9736991171077205,41.42866572034378,65.0,-17.757145262934017,20
CKBUSDT,2.3010626928071662,26.464623688852164,66.66666666666666,-16.187500213979266,12
COMPUSDT,1.2728937003213066,14.698357628861714,52.17391304347826,-27.627362327569173,23
COTIUSDT,0.577875559618058,-34.836614107665554,48.0,-49.38888788832026,25
CRVUSDT,0.6404906513432743,-24.098706283808202,33.33333333333333,-38.83959746871289,18
CTSIUSDT,1.3671953485592991,13.556759048457545,57.14285714285714,-22.131820222384572,21
DASHUSDT,0.33627554468037385,-36.681803590331164,39.130434782608695,-38.07181958108205,23
DENTUSDT,2.1050233658819,30.568907835684733,75.0,-18.631545886925792,20
DODOXUSDT,0.6979634507994509,-8.350046497783037,50.0,-14.694952496999553,10
DOGEUSDT,0.12507405298294305,-68.17467451012706,25.0,-68.53753849506465,28
DOTUSDT,0.41200203296175525,-46.4883140977658,44.827586206896555,-58.10188015025592,29
DUSKUSDT,0.2972108954590184,-62.881201113463135,33.33333333333333,-63.906506831293356,21
DYDXUSDT,1.6769077336390543,37.2215519299935,47.368421052631575,-21.05283387825003,19
EDUUSDT,0.9054524965074455,-2.5697470791136046,58.333333333333336,-13.301484374772524,12
EGLDUSDT,0.7548900082686042,-15.327066838922764,52.17391304347826,-43.07034319581294,23
ENJUSDT,1.2956892969145195,14.813028722854881,63.63636363636363,-25.780405151697792,22
ENSUSDT,0.8442943473911739,-13.919809590008681,45.0,-43.07425343490504,20
ETCUSDT,0.9087009752901181,-6.317415455930986,50.0,-24.6141036688878,24
ETHUSDT,0.559668561223135,-27.91921490123522,44.0,-30.686757919293576,25
FETUSDT,1.318760029750984,11.68610527353624,35.714285714285715,-34.7635517577031,14
FILUSDT,1.171242262085246,9.188011316629519,57.14285714285714,-28.582357022732758,21
FLOWUSDT,2.1449322692759902,37.03050884225745,73.33333333333333,-22.17057476675246,15
FTMUSDT,1.0383259483221783,3.627413346080366,40.74074074074074,-30.063365448897056,27
GALAUSDT,0.7629753494600049,-11.405387829712566,47.05882352941176,-34.17621318270626,17
GASUSDT,2.6465274322256196,13.543545115452238,63.63636363636363,-4.4472993952116235,11
GLMUSDT,2.153815109246689,26.692134851531435,80.0,-20.41937134107899,10
GMTUSDT,2.2657007967556795,123.08103073762852,45.45454545454545,-31.714226219899167,22
GRTUSDT,0.8556032430570024,-6.898940788256658,47.61904761904761,-32.47729503966341,21
GTCUSDT,1.0126445866807787,0.4704786182154308,59.09090909090909,-30.580962181876792,22
HBARUSDT,0.594774162813058,-27.022899358944063,45.45454545454545,-35.28883518762639,22
HFTUSDT,3.2933259837151616,48.30495257274221,66.66666666666666,-10.254092133238839,12
HOOKUSDT,5.315122830962682,43.38784772147748,72.72727272727273,-7.6070792723752625,11
HOTUSDT,1.5792160927293173,17.90980263730213,55.00000000000001,-17.383188482213626,20
ICPUSDT,0.8753620300190621,-5.262624904341939,46.666666666666664,-22.826855212290102,15
ICXUSDT,2.838169763397514,53.10835772056526,50.0,-14.385018739203353,20
IDUSDT,7.0241057957245765,50.90152846943723,80.0,-6.012609462710496,10
ILVUSDT,1.9011753346410352,21.183030362609003,54.54545454545454,-16.182589421128778,11
IMXUSDT,1.2872023534547445,20.35255650373704,55.00000000000001,-27.861287631180637,20
INJUSDT,2.308371330207962,21.26170777092964,61.53846153846154,-6.937085806953916,13
IOSTUSDT,2.8064038290156246,76.22431471900654,61.904761904761905,-14.996666613648987,21
IOTAUSDT,0.5968793096774733,-22.080231157340478,45.45454545454545,-28.855258328463805,22
IOTXUSDT,1.3506170546622753,15.033003792624156,56.52173913043478,-13.96368832931223,23
JASMYUSDT,0.9917321460580734,-0.408867857772488,38.095238095238095,-27.180534815046332,21
JUPUSDT,0.8947908392448511,-2.6295115671260083,36.36363636363637,-19.87820812678656,11
KASUSDT,1.7240647109212257,10.68927012996519,40.0,-13.150561887452717,10
KAVAUSDT,0.8047668104095705,-10.223629151759939,47.82608695652174,-29.840757857842853,23
KNCUSDT,0.7066197879487374,-20.12157267572143,54.166666666666664,-50.739984390762984,24
KSMUSDT,1.268218924889215,10.63624737205906,60.0,-26.058124496346036,20
LDOUSDT,0.4304333588897763,-25.020840519535337,47.05882352941176,-30.09006863296583,17
LINKUSDT,0.7228448083239086,-20.233850614099435,45.16129032258064,-27.891586002749186,31
LPTUSDT,0.4844127335910576,-35.918316059543486,43.47826086956522,-51.38753223176168,23
LQTYUSDT,0.5724679139865867,-12.995643533692014,45.45454545454545,-16.044686569916248,11
LRCUSDT,1.8576708450256831,26.854418393071768,54.166666666666664,-23.98099814254238,24
LTCUSDT,0.2940783868463115,-38.23373086350807,35.714285714285715,-38.23373086350807,28
LUNA2USDT,1.866379406183962,31.142611691474677,69.23076923076923,-13.201258233707195,13
MAGICUSDT,4.005270421017027,87.39131075079578,66.66666666666666,-9.204338766930533,12
MANAUSDT,2.012915125566041,35.147446351882294,57.89473684210527,-26.945797883067733,19
MASKUSDT,0.6040264281990532,-21.408751338482055,45.45454545454545,-38.69251100918269,22
MEMEUSDT,5.693393624082326,68.40418652228553,80.0,-11.103856845609648,10
MINAUSDT,3.7885865265238303,24.038491610072743,54.54545454545454,-5.091140587474601,11
MOVRUSDT,3.2746700965880424,21.81443415275246,70.0,-3.7593329143096605,10
MTLUSDT,0.8266688872349056,-9.028819764987507,64.0,-29.254486665426654,25
NEARUSDT,0.777064143579624,-18.97952140289413,60.71428571428571,-36.50234913185147,28
NEOUSDT,2.704364756158454,46.48046780147694,63.63636363636363,-16.692059831152907,22
NKNUSDT,5.6221175393652985,122.98007132144781,71.42857142857143,-23.745770053370787,21
NMRUSDT,3.2600339562757528,26.291986145521683,63.63636363636363,-7.487753071636577,11
OGNUSDT,1.469262451807665,19.92399415578625,65.21739130434783,-25.593559768984814,23
ONEUSDT,0.38087393164321637,-52.64307125355341,45.45454545454545,-65.48798084225078,22
ONTUSDT,1.844621119199315,34.86462859202171,59.09090909090909,-23.93814978716006,22
OPUSDT,1.304509003353757,28.262662988005594,31.57894736842105,-30.696167477130466,19
PENDLEUSDT,0.11292581925962254,-34.64160763795038,33.33333333333333,-38.40426867463219,12
PEOPLEUSDT,0.8762819905183687,-6.6917782595677044,45.45454545454545,-30.80008130907727,22
PHBUSDT,0.773217069592197,-8.462898423710518,45.45454545454545,-24.882008924408066,11
PIXELUSDT,7.877361999976282,72.1021196422651,72.72727272727273,-7.43200539172858,11
PNUTUSDT,2.9917877784709,43.14361757844984,60.0,-5.502571015331213,10
PORTALUSDT,16.122847493977535,76.62216686285967,80.0,-2.4309355394691377,10
QNTUSDT,1.0324136335674303,1.495336195403807,55.55555555555556,-29.977825671277046,18
QTUMUSDT,1.6983205123935374,28.32189554735478,70.0,-29.045218684791426,20
RDNTUSDT,2.2524855727231974,25.273569063868663,70.0,-16.665630785603245,10
RLCUSDT,0.5538134232378964,-30.280438892172224,42.30769230769231,-40.87970145987858,26
RONINUSDT,0.7341529149114666,-11.274132285076233,70.0,-27.625917814738138,10
ROSEUSDT,2.2934840748251824,45.6978726119408,58.82352941176471,-19.915782302307324,17
RSRUSDT,1.0045504478234586,0.29288485311207424,50.0,-24.34145645355473,18
RUNEUSDT,0.8916145494350032,-10.09938777805699,31.57894736842105,-47.583514893870806,19
RVNUSDT,1.055107489475616,2.39231246404632,52.38095238095239,-27.215918924267296,21
SANDUSDT,1.8161363213235597,35.862599713875085,55.172413793103445,-24.45095529305452,29
SEIUSDT,3.350148579425029,38.13055144587247,72.72727272727273,-15.640205573908261,11
SFPUSDT,0.37204984499230653,-40.10746994140712,22.22222222222222,-40.10746994140712,27
SKLUSDT,1.05371392915636,5.039792962424161,50.0,-30.399414446120392,22
SNXUSDT,0.843918028740881,-12.894444578804576,50.0,-46.76395271551509,22
SOLUSDT,0.556389408871812,-37.682202434797965,42.857142857142854,-48.819910113214185,28
SPELLUSDT,0.7145848662060861,-9.019739617515299,41.66666666666667,-22.19972838176779,12
SSVUSDT,0.22671889902151768,-33.76952602732369,30.0,-41.40995649046001,10
STEEMUSDT,1.3939869922503692,5.933697060476817,41.66666666666667,-9.462320763101252,12
STGUSDT,4.385545714359447,69.2870764456163,75.0,-11.220385663940414,12
STORJUSDT,1.1715448770062171,8.168030567615192,52.94117647058824,-34.665077967890575,17
STRKUSDT,1.19126562277347,8.108811236063307,75.0,-18.30133668705632,12
STXUSDT,4.6088784149906,52.36894540517303,66.66666666666666,-12.090384172765404,12
SUIUSDT,0.1973670896092395,-25.579490977459475,20.0,-25.579490977459475,10
SUPERUSDT,2.233756250338606,32.89250383525732,60.0,-14.68096304378354,10
SUSHIUSDT,0.592223607088179,-16.538798118093258,50.0,-29.309164798458852,18
TAOUSDT,1.3695232411042197,13.942819611682777,45.45454545454545,-21.890308177499087,11
THETAUSDT,0.6703884304212884,-13.639195035010875,40.0,-24.352401577455403,20
TIAUSDT,0.7713312883977995,-11.27698119804389,50.0,-33.832511644782976,12
TLMUSDT,3.4385788203590804,27.347636863690195,75.0,-7.659196059862791,12
TRBUSDT,2.3831262450544077,103.56416133637802,55.55555555555556,-21.38614794977384,18
TRUUSDT,0.32991191036265555,-32.7915434895107,36.36363636363637,-48.936168239100724,11
TRXUSDT,0.6332116198952258,-10.816708334822156,42.857142857142854,-22.13945453209684,21
TUSDT,2.3801330257628557,21.44279448387536,50.0,-12.077340619194448,10
TWTUSDT,0.164411616540102,-29.09380686823473,33.33333333333333,-33.313410565809335,12
UMAUSDT,0.8125142950681637,-7.466633941737366,60.0,-29.38282858004813,10
UNIUSDT,0.39641186137469503,-42.34322451513341,34.78260869565217,-42.34322451513341,23
USDCUSDT,0.0,-1.3411423619184126,0.0,-1.2560923712384102,13
VETUSDT,2.000145922235507,33.40281177048028,47.368421052631575,-15.075976806588423,19
WIFUSDT,2.4972338753335364,31.282971608128317,53.84615384615385,-9.008290888627144,13
WLDUSDT,1.6447489681881198,21.956592980056833,57.14285714285714,-21.173803199034886,14
WOOUSDT,0.9257781356017498,-3.2586128309388007,56.25,-20.649469756569253,16
XAIUSDT,0.9768508275568757,-0.9346036630535903,80.0,-40.37309175305677,10
XLMUSDT,0.6787753918554186,-16.91590468430313,44.44444444444444,-26.93322300769069,27
XMRUSDT,0.5514121607347799,-22.521479774992738,35.714285714285715,-41.08453187546556,28
XRPUSDT,0.6149110392098212,-24.84489394993239,32.25806451612903,-33.79633695850321,31
XTZUSDT,0.7936572861278218,-7.002126573961764,61.111111111111114,-24.98634699688929,18
XVGUSDT,0.8863949750035711,-4.582796552814649,54.54545454545454,-25.32552084306162,11
XVSUSDT,6.494900086728931,35.75570949444209,63.63636363636363,-3.172203695440755,11
YFIUSDT,1.1038163004749104,4.522342686007352,39.130434782608695,-24.926714435965124,23
ZECUSDT,0.4748231321536845,-38.792004711661136,39.130434782608695,-38.792004711661136,23
ZENUSDT,0.2900895923254666,-80.23661452364837,39.130434782608695,-80.4707060773148,23
ZILUSDT,1.4402942894273687,16.706023284112682,73.68421052631578,-35.12143027239735,19
ZROUSDT,0.8216973766469223,-6.116739542550709,54.54545454545454,-21.831723948875506,11
ZRXUSDT,0.9378275439035482,-3.7957213534444034,59.09090909090909,-28.853881068617284,22
